CH1,CH2,CH3,CH4,CH5,CH6,label,type
40915,41123,41988,40922,40290,41091,0,train
40905,41132,41434,40922,40732,41144,0,train
40919,41114,40777,40981,41182,41184,0,train
40919,41115,40021,41021,41762,41185,0,train
40915,41117,39490,41041,42375,41188,0,train
40918,41111,40077,41002,42532,41179,0,train
40900,41121,40987,40986,42360,41153,0,train
40923,41121,41487,40959,41530,41133,0,train
40912,41127,41645,40949,40252,41127,0,train
40896,41121,41649,40943,39601,41144,0,train
40907,41123,41588,40932,39635,41132,0,train
40897,41126,41464,40954,39915,41114,0,train
40906,41135,41303,40946,40323,41136,0,train
40915,41140,41154,40946,40748,41148,0,train
40920,41142,41001,40968,41166,41146,0,train
40907,41126,40883,40974,41523,41156,0,train
40906,41126,40781,40982,41789,41164,0,train
40921,41130,40710,40985,42004,41162,0,train
40916,41133,40661,40986,42128,41167,0,train
40908,41123,40634,40995,42200,41173,0,train
40890,41120,40646,40988,42212,41162,0,train
40905,41117,40634,41001,42184,41176,0,train
40918,41129,40636,40992,42136,41164,0,train
40915,41131,40690,40997,42024,41157,0,train
40908,41129,40708,40991,41921,41157,0,train
40906,41120,40763,40986,41770,41156,0,train
40914,41130,40856,40989,41491,41142,0,train
40899,41122,40970,40973,40428,41133,0,train
40908,41136,41165,40958,38896,41117,0,train
40914,41138,41648,40935,38519,41099,0,train
40910,41123,42290,40921,39054,41082,0,train
40912,41125,42457,40919,39701,41084,0,train
40908,41137,41973,40893,40337,41097,0,train
40912,41132,41388,40931,40758,41125,0,train
40925,41121,40872,40967,41094,41152,0,train
40909,41125,39991,41025,41843,41180,0,train
40920,41114,39388,41047,42456,41191,0,train
40916,41106,39925,41009,42503,41176,0,train
40908,41115,40875,40977,42442,41131,0,train
40906,41131,41439,40961,41763,41130,0,train
40913,41129,41610,40944,40414,41132,0,train
40908,41123,41639,40947,39699,41112,0,train
40912,41124,41576,40934,39675,41122,0,train
40906,41127,41438,40942,39958,41130,0,train
40917,41134,41293,40938,40356,41121,0,train
40920,41124,41103,40953,40795,41141,0,train
40909,41129,40961,40961,41216,41154,0,train
40911,41131,40824,40962,41571,41162,0,train
40915,41123,40726,40977,41869,41176,0,train
40907,41117,40651,40981,42057,41173,0,train
40904,41121,40606,40977,42202,41176,0,train
40913,41124,40579,40997,42279,41175,0,train
40916,41121,40582,40989,42272,41170,0,train
40924,41113,40593,40997,42241,41176,0,train
40901,41117,40605,40987,42169,41174,0,train
40913,41127,40646,40985,42060,41176,0,train
40915,41129,40697,40993,41940,41164,0,train
40926,41123,40750,40985,41785,41158,0,train
40902,41126,40834,40987,41470,41132,0,train
40906,41127,40965,40982,40242,41133,0,train
40924,41125,41223,40950,38648,41121,0,train
40922,41139,41841,40948,38443,41092,0,train
40912,41137,42472,40908,39119,41084,0,train
40925,41125,42506,40890,39788,41083,0,train
40912,41130,42100,40878,40237,41066,0,train
40910,41134,41405,40924,40753,41107,0,train
40913,41128,40742,40988,41164,41164,0,train
40907,41115,39933,41032,41780,41230,0,train
40914,41123,39324,41058,42355,41220,0,train
40918,41110,39753,41030,42567,41190,0,train
40906,41121,40829,40984,42499,41148,0,train
40925,41124,41480,40961,41751,41126,0,train
40898,41117,41693,40936,40417,41111,0,train
40913,41125,41715,40942,39666,41124,0,train
40900,41136,41615,40927,39618,41117,0,train
40915,41126,41472,40937,39907,41120,0,train
40907,41121,41296,40955,40324,41126,0,train
40915,41129,41107,40948,40780,41143,0,train
