CH1,CH2,CH3,CH4,CH5,CH6,label,type
41305,40939,41242,41268,41178,41434,0,train
41293,40906,41255,41286,41086,41390,0,train
41273,40927,41269,41289,41049,41393,0,train
41288,40881,41251,41352,41009,41410,0,train
41312,40909,41239,41353,40971,41432,0,train
41251,40868,41251,41360,40996,41419,0,train
41211,40845,41245,41376,40845,41420,0,train
41296,40880,41248,41362,40849,41433,0,train
41385,40930,41230,41291,40962,41483,0,train
41411,40923,41202,41278,41126,41474,0,train
41439,40891,41167,41326,41182,41495,0,train
41435,40890,41181,41291,41295,41553,0,train
41436,40873,41212,41277,41329,41545,0,train
41341,40881,41237,41256,41154,41473,0,train
41259,40813,41245,41319,40859,41385,0,train
41227,40790,41280,41316,40711,41366,0,train
41298,40826,41265,41324,40776,41401,0,train
41310,40872,41240,41336,40946,41453,0,train
41350,40860,41209,41333,41081,41483,0,train
41459,40899,41209,41326,41625,41538,0,train
41577,40924,41158,41339,41983,41545,0,train
41507,40959,41162,41412,41345,41495,0,train
41372,40922,41209,41399,40596,41444,0,train
41288,40920,41266,41333,40680,41409,0,train
41238,41042,41246,41310,41086,41419,0,train
41302,41047,41240,41339,41315,41436,0,train
41338,41016,41259,41327,41319,41477,0,train
41350,40952,41240,41317,41349,41447,0,train
41352,40976,41216,41313,41272,41436,0,train
41371,40980,41233,41328,41202,41449,0,train
41367,41025,41248,41309,41394,41467,0,train
41380,41045,41204,41291,41557,41494,0,train
41384,41009,41234,41335,41393,41483,0,train
41396,40979,41241,41412,41250,41438,0,train
41352,40973,41250,41360,41173,41467,0,train
41324,40977,41227,41377,40974,41458,0,train
41322,41001,41197,41377,40632,41459,0,train
41305,41018,41222,41302,40369,41458,0,train
41289,41067,41213,41255,40630,41464,0,train
41282,41019,41230,41301,41096,41456,0,train
41305,40962,41221,41318,41288,41461,0,train
41287,40954,41226,41347,41285,41461,0,train
41332,40920,41229,41335,41210,41451,0,train
41276,40911,41236,41317,41161,41453,0,train
